[rospy.client][INFO] 2017-06-09 23:40:57,492: init_node, name[/marker_control_8946_1497076857451], pid[8946]
[xmlrpc][INFO] 2017-06-09 23:40:57,492: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-06-09 23:40:57,496: Started XML-RPC server [http://ip-172-31-19-100:41828/]
[rospy.init][INFO] 2017-06-09 23:40:57,496: ROS Slave URI: [http://ip-172-31-19-100:41828/]
[rospy.impl.masterslave][INFO] 2017-06-09 23:40:57,499: _ready: http://ip-172-31-19-100:41828/
[xmlrpc][INFO] 2017-06-09 23:40:57,515: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2017-06-09 23:40:57,516: Registering with master node http://localhost:60180
[rospy.init][INFO] 2017-06-09 23:40:57,611: registered with master
[rospy.rosout][INFO] 2017-06-09 23:40:57,618: initializing /rosout core topic
[rospy.rosout][INFO] 2017-06-09 23:40:57,628: connected to core topic /rosout
[rospy.simtime][INFO] 2017-06-09 23:40:57,632: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2017-06-09 23:40:57,834: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2017-06-09 23:40:57,936: topic[/control_markers/update] adding connection to [/interactive_marker_proxy], count 0
[rospy.internal][INFO] 2017-06-09 23:40:57,951: topic[/attached_collision_object] adding connection to [/move_group], count 0
[rospy.internal][INFO] 2017-06-09 23:40:57,955: topic[/collision_object] adding connection to [/move_group], count 0
[rospy.internal][INFO] 2017-06-09 23:40:58,338: topic[/control_markers/update_full] adding connection to [/interactive_marker_proxy], count 0
[rospy.internal][INFO] 2017-06-09 23:41:09,451: topic[/joint_trajectory] adding connection to [http://ip-172-31-19-100:49358/], count 0
[rospy.internal][INFO] 2017-06-09 23:41:09,458: topic[/motion_planning_goal] adding connection to [/move_arm_9421_1497076869078], count 0
[rospy.internal][INFO] 2017-06-09 23:41:15,465: topic[/visualization_marker_array] adding connection to [/rosbridge_websocket], count 0
[rospy.internal][INFO] 2017-06-09 23:41:15,530: topic[/control_markers/feedback] adding connection to [http://ip-172-31-19-100:42488/], count 0
